Entity,Code,Year,Annual budget of NASA
United States,USA,1959,2320435000
United States,USA,1960,3622572000
United States,USA,1961,6577310000
United States,USA,1962,12326663000
United States,USA,1963,24521547000
United States,USA,1964,33619086000
United States,USA,1965,34020008000
United States,USA,1966,32831229000
United States,USA,1967,30586033000
United States,USA,1968,27302172000
United States,USA,1969,22709369000
United States,USA,1970,20231901000
United States,USA,1971,17019924000
United States,USA,1972,16226362000
United States,USA,1973,16016951000
United States,USA,1974,13330552000
United States,USA,1975,12847750000
United States,USA,1976,13212042000
United States,USA,1977,13445147000
United States,USA,1978,13793091000
United States,USA,1979,14263654000
United States,USA,1980,14799480000
United States,USA,1981,14189559000
United States,USA,1982,14600485000
United States,USA,1983,15941189000
United States,USA,1984,16246934000
United States,USA,1985,15964111000
United States,USA,1986,16097973000
United States,USA,1987,22028358000
United States,USA,1988,17701905000
United States,USA,1989,20413493000
United States,USA,1990,22135700000
United States,USA,1991,24509580000
United States,USA,1992,24426631000
United States,USA,1993,23854358000
United States,USA,1994,23769058000
United States,USA,1995,22130494000
United States,USA,1996,21772696000
United States,USA,1997,21121756000
United States,USA,1998,20768617000
United States,USA,1999,20514049000
United States,USA,2000,20023113000
United States,USA,2001,20499399000
United States,USA,2002,21080477000
United States,USA,2003,21395081000
United States,USA,2004,20877935000
United States,USA,2005,21338934000
United States,USA,2006,21265571000
United States,USA,2007,20236923000
United States,USA,2008,20958210000
United States,USA,2009,22609714000
United States,USA,2010,22346619000
United States,USA,2011,21584155000
United States,USA,2012,20404142000
United States,USA,2013,19033095000
United States,USA,2014,19520325000
United States,USA,2015,19682958000
United States,USA,2016,20883596000
United States,USA,2017,20903930000
United States,USA,2018,21598138000
United States,USA,2019,21937489000
United States,USA,2020,22629000000
United States,USA,2021,23271300000
United States,USA,2022,24801500000
